Ser,Estar
El vianant afirma que el capellà és a l'església.,El vianant afirma que el capellà és a l'església.
El pare aclareix que la nena és al parc.,El pare aclareix que la nena està al parc.
La presentadora especifica que la candidata és al plató.,La presentadora especifica que la candidata està al plató.
El nedador ratifica que el banyador és al pavelló.,El nedador ratifica que el banyador està al pavelló.
La comerciant reitera que la llista és al despatx.,La comerciant reitera que la llista està al despatx.
El violinista concreta que el director és a la platja.,El violinista concreta que el director està a la platja.
La cirurgiana informa que la infermera és al quiròfan.,La cirurgiana informa que la infermera està al quiròfan.
L'actor recalca que el vestit és a l'armari.,L'actor recalca que el vestit està a l'armari.
L'atleta comenta que la tovallola és al vestidor.,L'atleta comenta que la tovallola està al vestidor.
L'alcalde assegura que el convidat és al teatre.,L'alcalde assegura que el convidat està al teatre.
La carnissera respon que l'hamburguesa és a la botiga.,La carnissera respon que l'hamburguesa està a la botiga.
L'encarregat recorda que el rellotge és a la joieria.,L'encarregat recorda que el rellotge està a la joieria.