Tipus,Subjecte,Objecte directe,Prediccions,Model,Prediccions subjecte,Prediccions objecte directe
sense pronom explícit,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,20,28
amb pronom explícit,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,Mar,Gal·la,Mar,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,Laura,Maria,Maria,projecte-aina/roberta-base-ca-v2,,
amb pronom explícit,Laura,Maria,Maria,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,Laura,Maria,Maria,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,Laura,Maria,Maria,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,Laura,Maria,Laura,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,Laura,Maria,Laura,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,Laura,Maria,Laura,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,Laura,Maria,Laura,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
amb pronom explícit,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,David,Roger,Roger,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,Jaume,Ramon,Ramon,projecte-aina/roberta-base-ca-v2,,
amb pronom explícit,Jaume,Ramon,Jaume,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,Jaume,Ramon,Ramon,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,Jaume,Ramon,Ramon,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,Jaume,Ramon,Jaume,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,Jaume,Ramon,Jaume,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,Jaume,Ramon,Ramon,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,Jaume,Ramon,Ramon,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
amb pronom explícit,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,Anna,Alba,Alba,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,Mariona,Isabel,Isabel,projecte-aina/roberta-base-ca-v2,,
amb pronom explícit,Mariona,Isabel,Mariona,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte sense pronom,Mariona,Isabel,Isabel,projecte-aina/roberta-base-ca-v2,,
clivellada de subjecte amb pronom,Mariona,Isabel,Isabel,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte sense pronom,Mariona,Isabel,Mariona,projecte-aina/roberta-base-ca-v2,,
clivellada d'objecte amb pronom,Mariona,Isabel,Mariona,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre sense pronom,Mariona,Isabel,Mariona,projecte-aina/roberta-base-ca-v2,,
canvi d'ordre neutre amb pronom,Mariona,Isabel,Mariona,projecte-aina/roberta-base-ca-v2,,
sense pronom explícit,Mar,Gal·la,Mar,facebook/xmod-base,17,31
amb pronom explícit,Mar,Gal·la,Mar,facebook/xmod-base,,
clivellada de subjecte sense pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
clivellada de subjecte amb pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
clivellada d'objecte sense pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
clivellada d'objecte amb pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,Mar,Gal·la,Mar,facebook/xmod-base,,
sense pronom explícit,Laura,Maria,Maria,facebook/xmod-base,,
amb pronom explícit,Laura,Maria,Maria,facebook/xmod-base,,
clivellada de subjecte sense pronom,Laura,Maria,Maria,facebook/xmod-base,,
clivellada de subjecte amb pronom,Laura,Maria,Maria,facebook/xmod-base,,
clivellada d'objecte sense pronom,Laura,Maria,Laura,facebook/xmod-base,,
clivellada d'objecte amb pronom,Laura,Maria,Laura,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,Laura,Maria,Laura,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,Laura,Maria,Laura,facebook/xmod-base,,
sense pronom explícit,David,Roger,Roger,facebook/xmod-base,,
amb pronom explícit,David,Roger,Roger,facebook/xmod-base,,
clivellada de subjecte sense pronom,David,Roger,Roger,facebook/xmod-base,,
clivellada de subjecte amb pronom,David,Roger,Roger,facebook/xmod-base,,
clivellada d'objecte sense pronom,David,Roger,Roger,facebook/xmod-base,,
clivellada d'objecte amb pronom,David,Roger,Roger,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,David,Roger,Roger,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,David,Roger,Roger,facebook/xmod-base,,
sense pronom explícit,Jaume,Ramon,Jaume,facebook/xmod-base,,
amb pronom explícit,Jaume,Ramon,Jaume,facebook/xmod-base,,
clivellada de subjecte sense pronom,Jaume,Ramon,Ramon,facebook/xmod-base,,
clivellada de subjecte amb pronom,Jaume,Ramon,Ramon,facebook/xmod-base,,
clivellada d'objecte sense pronom,Jaume,Ramon,Jaume,facebook/xmod-base,,
clivellada d'objecte amb pronom,Jaume,Ramon,Jaume,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,Jaume,Ramon,Ramon,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,Jaume,Ramon,Ramon,facebook/xmod-base,,
sense pronom explícit,Anna,Alba,Alba,facebook/xmod-base,,
amb pronom explícit,Anna,Alba,Alba,facebook/xmod-base,,
clivellada de subjecte sense pronom,Anna,Alba,Alba,facebook/xmod-base,,
clivellada de subjecte amb pronom,Anna,Alba,Alba,facebook/xmod-base,,
clivellada d'objecte sense pronom,Anna,Alba,Anna,facebook/xmod-base,,
clivellada d'objecte amb pronom,Anna,Alba,Alba,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,Anna,Alba,Alba,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,Anna,Alba,Alba,facebook/xmod-base,,
sense pronom explícit,Mariona,Isabel,Isabel,facebook/xmod-base,,
amb pronom explícit,Mariona,Isabel,Isabel,facebook/xmod-base,,
clivellada de subjecte sense pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
clivellada de subjecte amb pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
clivellada d'objecte sense pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
clivellada d'objecte amb pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
canvi d'ordre neutre sense pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
canvi d'ordre neutre amb pronom,Mariona,Isabel,Isabel,facebook/xmod-base,,
sense pronom explícit,Mar,Gal·la,Mar,Twitter/twhin-bert-large,20,26
amb pronom explícit,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,Mar,Gal·la,Mar,Twitter/twhin-bert-large,,
sense pronom explícit,Laura,Maria,Maria,Twitter/twhin-bert-large,,
amb pronom explícit,Laura,Maria,Maria,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,Laura,Maria,Maria,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,Laura,Maria,Maria,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,Laura,Maria,Laura,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,Laura,Maria,Laura,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,Laura,Maria,Laura,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,Laura,Maria,Laura,Twitter/twhin-bert-large,,
sense pronom explícit,David,Roger,Roger,Twitter/twhin-bert-large,,
amb pronom explícit,David,Roger,Roger,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,David,Roger,Roger,Twitter/twhin-bert-large,,
sense pronom explícit,Jaume,Ramon,Ramon,Twitter/twhin-bert-large,,
amb pronom explícit,Jaume,Ramon,Ramon,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,Jaume,Ramon,Ramon,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,Jaume,Ramon,Ramon,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,Jaume,Ramon,Jaume,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,Jaume,Ramon,Jaume,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,Jaume,Ramon,Jaume,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,Jaume,Ramon,Jaume,Twitter/twhin-bert-large,,
sense pronom explícit,Anna,Alba,Alba,Twitter/twhin-bert-large,,
amb pronom explícit,Anna,Alba,Alba,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,Anna,Alba,Alba,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,Anna,Alba,Alba,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,Anna,Alba,Anna,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,Anna,Alba,Anna,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,Anna,Alba,Anna,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,Anna,Alba,Anna,Twitter/twhin-bert-large,,
sense pronom explícit,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
amb pronom explícit,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
clivellada de subjecte sense pronom,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
clivellada de subjecte amb pronom,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
clivellada d'objecte sense pronom,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
clivellada d'objecte amb pronom,Mariona,Isabel,Isabel,Twitter/twhin-bert-large,,
canvi d'ordre neutre sense pronom,Mariona,Isabel,Maria,Twitter/twhin-bert-large,,
canvi d'ordre neutre amb pronom,Mariona,Isabel,Maria,Twitter/twhin-bert-large,,
sense pronom explícit,Mar,Gal·la,Mar,facebook/xlm-v-base,24,24
amb pronom explícit,Mar,Gal·la,Mar,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
sense pronom explícit,Laura,Maria,Maria,facebook/xlm-v-base,,
amb pronom explícit,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
sense pronom explícit,David,Roger,Roger,facebook/xlm-v-base,,
amb pronom explícit,David,Roger,Roger,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,David,Roger,Roger,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,David,Roger,Roger,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,David,Roger,David,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,David,Roger,David,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,David,Roger,Roger,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,David,Roger,Roger,facebook/xlm-v-base,,
sense pronom explícit,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
amb pronom explícit,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Jaume,Ramon,Jaume,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Jaume,Ramon,Jaume,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
sense pronom explícit,Anna,Alba,Alba,facebook/xlm-v-base,,
amb pronom explícit,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
sense pronom explícit,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
amb pronom explícit,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
