Frase amb a,Frase sense a ,Tipus SN,Prediccions a,Prediccions sense a,Model,Mitjana amb a,Mitjana sense a,Desviació estàndard amb a,Desviació estàndard sense a,Mitjana a tipus SN,Mitjana sense a tipus SN
Els policies busquen a la Carme per detenir-la d'immediat,Els policies busquen la Carme per detenir-la d'immediat,SN específic nom propi,-0.9090471863746643,-0.9360190033912659,projecte-aina/roberta-base-ca-v2,-0.7434225078048056,-0.7828242848740451,0.29780416622289535,0.4080959743674218,-0.8635370184654474,-1.0265834551149358
Els policies busquen a la delinqüent que està en forma per detenir-la d'immediat,Els policies busquen la delinqüent que està en forma per detenir-la d'immediat,SN específic definit,-0.7303599119186401,-0.7884480953216553,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els policies busquen a una delinqüent que està en forma per detenir-la d'immediat,Els policies busquen una delinqüent que està en forma per detenir-la d'immediat,SN específic indefinit,-0.7639816403388977,-0.8130778074264526,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els policies busquen a una delinqüent que estigui en forma per detenir-la d'immediat,Els policies busquen una delinqüent que estigui en forma per detenir-la d'immediat,SN inespecífic indefinit,-0.7700023651123047,-0.7998465299606323,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les amigues busquen a la Bruna per jugar el partit,Les amigues busquen la Bruna per jugar el partit,SN específic nom propi,-0.9399758577346802,-0.9255830645561218,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les amigues busquen a la nena que juga a bàsquet per jugar el partit,Les amigues busquen la nena que juga a bàsquet per jugar el partit,SN específic definit,-0.6378059983253479,-0.5879383087158203,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les amigues busquen a una nena que juga a bàsquet per jugar el partit,Les amigues busquen una nena que juga a bàsquet per jugar el partit,SN específic indefinit,-0.6949959397315979,-0.6955385804176331,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les amigues busquen a una nena que jugui a bàsquet per jugar el partit,Les amigues busquen una nena que jugui a bàsquet per jugar el partit,SN inespecífic indefinit,-0.5441999435424805,-0.4572499990463257,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els propietaris busquen a la Carla per parlar del lloguer,Els propietaris busquen la Carla per parlar del lloguer,SN específic nom propi,-0.9509777426719666,-1.01674222946167,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els propietaris busquen a la inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen la inquilina que viu en aquest pis per parlar del lloguer,SN específic definit,-0.627132773399353,-0.6517124772071838,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els propietaris busquen a una inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen una inquilina que viu en aquest pis per parlar del lloguer,SN específic indefinit,-0.6253518462181091,-0.637252688407898,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els propietaris busquen a una inquilina que visqui en aquest pis per parlar del lloguer,Els propietaris busquen una inquilina que visqui en aquest pis per parlar del lloguer,SN inespecífic indefinit,-0.552717924118042,-0.5733451843261719,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les detectius busquen a la Victòria per investigar-la,Les detectius busquen la Victòria per investigar-la,SN específic nom propi,-0.959900438785553,-0.9291990399360657,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les detectius busquen a la noia que és morena per investigar-la,Les detectius busquen la noia que és morena per investigar-la,SN específic definit,-0.49768391251564026,-0.29975417256355286,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les detectius busquen a una noia que és morena per investigar-la,Les detectius busquen una noia que és morena per investigar-la,SN específic indefinit,-0.5025543570518494,-0.2796017825603485,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les detectius busquen a una noia que sigui morena per investigar-la,Les detectius busquen una noia que sigui morena per investigar-la,SN inespecífic indefinit,-0.47195470333099365,-0.2553247809410095,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les treballadores necessiten a la Patricia per parlar amb un client de Bilbao,Les treballadores necessiten la Patricia per parlar amb un client de Bilbao,SN específic nom propi,-0.8495227098464966,-0.921514093875885,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les treballadores necessiten a la traductora que sap basc per parlar amb un client de Bilbao,Les treballadores necessiten la traductora que sap basc per parlar amb un client de Bilbao,SN específic definit,-0.7795732617378235,-0.7000494003295898,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les treballadores necessiten a una traductora que sap basc per parlar amb un client de Bilbao,Les treballadores necessiten una traductora que sap basc per parlar amb un client de Bilbao,SN específic indefinit,-0.7883386015892029,-0.7300744652748108,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les treballadores necessiten a una traductora que sàpiga basc per parlar amb un client de Bilbao,Les treballadores necessiten una traductora que sàpiga basc per parlar amb un client de Bilbao,SN inespecífic indefinit,-0.8114699125289917,-0.7549786567687988,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els demandats necessiten a la Susanna per defensar-se,Els demandats necessiten la Susanna per defensar-se,SN específic nom propi,-1.1857966184616089,-1.7030898332595825,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els demandats necessiten a l'advocada que té un bufet per defensar-se,Els demandats necessiten l'advocada que té un bufet per defensar-se,SN específic definit,-0.8295938968658447,-0.8719449043273926,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els demandats necessiten a una advocada que té un bufet per defensar-se,Els demandats necessiten una advocada que té un bufet per defensar-se,SN específic indefinit,-0.8614528179168701,-0.8431318998336792,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els demandats necessiten a una advocada que tingui un bufet per defensar-se,Els demandats necessiten una advocada que tingui un bufet per defensar-se,SN inespecífic indefinit,-0.8250813484191895,-0.8064663410186768,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les universitàries necessiten a la Noemí per resoldre uns dubtes,Les universitàries necessiten la Noemí per resoldre uns dubtes,SN específic nom propi,-0.6029585003852844,-0.7413291335105896,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les universitàries necessiten a la becaria que ensenya alemany per resoldre uns dubtes,Les universitàries necessiten la becaria que ensenya alemany per resoldre uns dubtes,SN específic definit,-0.7196769118309021,-0.746418297290802,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les universitàries necessiten a una becaria que ensenya alemany per resoldre uns dubtes,Les universitàries necessiten una becaria que ensenya alemany per resoldre uns dubtes,SN específic indefinit,-0.7349079251289368,-0.7910648584365845,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les universitàries necessiten a una becaria que ensenyi alemany per resoldre uns dubtes,Les universitàries necessiten una becaria que ensenyi alemany per resoldre uns dubtes,SN inespecífic indefinit,-0.6909972429275513,-0.7823467254638672,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els avis necessiten a la Mercè per dutxar-se,Els avis necessiten la Mercè per dutxar-se,SN específic nom propi,-0.0010838204761967063,-0.001572765875607729,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els avis necessiten a la assistenta que és infermera per dutxar-se,Els avis necessiten la assistenta que és infermera per dutxar-se,SN específic definit,-0.0012620887719094753,-0.001207502093166113,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els avis necessiten a una assistenta que és infermera per dutxar-se,Els avis necessiten una assistenta que és infermera per dutxar-se,SN específic indefinit,-0.0005627557402476668,-0.0005304463556967676,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els avis necessiten a una assistenta que sigui infermera per dutxar-se,Els avis necessiten una assistenta que sigui infermera per dutxar-se,SN inespecífic indefinit,-0.0007002755301073194,-0.0004962314269505441,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els pacients reclamen a la Pilar perquè es troben molt malament,Els pacients reclamen la Pilar perquè es troben molt malament,SN específic nom propi,-1.0003445148468018,-0.9660861492156982,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els pacients reclamen a la doctora que és especialista perquè es troben molt malament,Els pacients reclamen la doctora que és especialista perquè es troben molt malament,SN específic definit,-0.7576609253883362,-0.8006685972213745,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els pacients reclamen a una doctora que és especialista perquè es troben molt malament,Els pacients reclamen una doctora que és especialista perquè es troben molt malament,SN específic indefinit,-0.796946108341217,-0.812475860118866,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els pacients reclamen a una doctora que sigui especialista perquè es troben molt malament,Els pacients reclamen una doctora que sigui especialista perquè es troben molt malament,SN inespecífic indefinit,-0.7566734552383423,-0.7767032384872437,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les investigadores reclamen a la Dolors per supervisar el projecte,Les investigadores reclamen la Dolors per supervisar el projecte,SN específic nom propi,-1.0723904371261597,-1.1711713075637817,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les investigadores reclamen a la científica que parla japonès per supervisar el projecte,Les investigadores reclamen la científica que parla japonès per supervisar el projecte,SN específic definit,-0.793361246585846,-0.9573665857315063,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les investigadores reclamen a una científica que parla japonès per supervisar el projecte,Les investigadores reclamen una científica que parla japonès per supervisar el projecte,SN específic indefinit,-0.7840498089790344,-0.8540073037147522,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les investigadores reclamen a una científica que parli japonès per supervisar el projecte,Les investigadores reclamen una científica que parli japonès per supervisar el projecte,SN inespecífic indefinit,-0.7809067368507385,-0.8483119010925293,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els jornalers reclamen a l'Èrica per a la reunió,Els jornalers reclamen l'Èrica per a la reunió,SN específic nom propi,-0.7184774279594421,-0.9692148566246033,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els jornalers reclamen a la superior que defensa els seus drets per a la reunió,Els jornalers reclamen la superior que defensa els seus drets per a la reunió,SN específic definit,-1.6291420459747314,-1.752057433128357,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els jornalers reclamen a una superior que defensa els seus drets per a la reunió,Els jornalers reclamen una superior que defensa els seus drets per a la reunió,SN específic indefinit,-1.5044254064559937,-1.8404839038848877,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els jornalers reclamen a una superior que defensi els seus drets per a la reunió,Els jornalers reclamen una superior que defensi els seus drets per a la reunió,SN inespecífic indefinit,-1.4779826402664185,-1.8240386247634888,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les periodistes reclamen a la Iolanda per pujar l'audiència,Les periodistes reclamen la Iolanda per pujar l'audiència,SN específic nom propi,-0.9724941253662109,-0.9920169115066528,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les periodistes reclamen la bloguera que té molts seguidors per pujar l'audiència,Les periodistes reclamen a la bloguera que té molts seguidors per pujar l'audiència,SN específic definit,-0.9756472110748291,-0.7886461019515991,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les periodistes reclamen una bloguera que té molts seguidors per pujar l'audiència,Les periodistes reclamen a una bloguera que té molts seguidors per pujar l'audiència,SN específic indefinit,-0.9970725774765015,-0.9118034839630127,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les periodistes reclamen a una bloguera que tingui molts seguidors per pujar l'audiència,Les periodistes reclamen una bloguera que tingui molts seguidors per pujar l'audiència,SN inespecífic indefinit,-0.8058487772941589,-0.930463433265686,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les venedores exigeixen a la Mònica per a la negociació,Les venedores exigeixen la Mònica per a la negociació,SN específic nom propi,-1.2297927141189575,-1.9153594970703125,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les venedores exigeixen a l'empresària que és comprensiva per a la negociació,Les venedores exigeixen l'empresària que és comprensiva per a la negociació,SN específic definit,-0.8023650646209717,-0.8369643688201904,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les venedores exigeixen a una empresària que és comprensiva per a la negociació,Les venedores exigeixen una empresària que és comprensiva per a la negociació,SN específic indefinit,-0.8622207045555115,-0.9363235235214233,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les venedores exigeixen a una empresària que sigui comprensiva per a la negociació,Les venedores exigeixen una empresària que sigui comprensiva per a la negociació,SN inespecífic indefinit,-0.8428624868392944,-0.9189639091491699,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els guionistes exigeixen a la Natàlia per protagonitzar la pel·lícula,Els guionistes exigeixen la Natàlia per protagonitzar la pel·lícula,SN específic nom propi,-0.7984111905097961,-0.944649338722229,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els guionistes exigeixen a l'actriu que és excel·lent per protagonitzar la pel·lícula,Els guionistes exigeixen l'actriu que és excel·lent per protagonitzar la pel·lícula,SN específic definit,-0.36805498600006104,-0.3613913655281067,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els guionistes exigeixen a una actriu que és excel·lent per protagonitzar la pel·lícula,Els guionistes exigeixen una actriu que és excel·lent per protagonitzar la pel·lícula,SN específic indefinit,-0.42231279611587524,-0.41405612230300903,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els guionistes exigeixen a una actriu que sigui excel·lent per protagonitzar la pel·lícula,Els guionistes exigeixen una actriu que sigui excel·lent per protagonitzar la pel·lícula,SN inespecífic indefinit,-0.4064764976501465,-0.4289291501045227,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les espectadores exigeixen a la Nerea per al jurat del concurs,Les espectadores exigeixen la Nerea per al jurat del concurs,SN específic nom propi,-0.788753092288971,-0.8337841629981995,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les espectadores exigeixen a la cantant que és americana per al jurat del concurs,Les espectadores exigeixen la cantant que és americana per al jurat del concurs,SN específic definit,-0.8888766169548035,-0.7745260000228882,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les espectadores exigeixen a una cantant que és americana per al jurat del concurs,Les espectadores exigeixen una cantant que és americana per al jurat del concurs,SN específic indefinit,-0.7649712562561035,-0.7178200483322144,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les espectadores exigeixen a una cantant que sigui americana per al jurat del concurs,Les espectadores exigeixen una cantant que sigui americana per al jurat del concurs,SN inespecífic indefinit,-0.8127835988998413,-0.7614038586616516,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els malalts exigeixen a la Míriam per començar la intervenció,Els malalts exigeixen la Míriam per començar la intervenció,SN específic nom propi,-0.8673253059387207,-1.8342760801315308,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els malalts exigeixen a la traumatòloga que sap operar per començar la intervenció,Els malalts exigeixen la traumatòloga que sap operar per començar la intervenció,SN específic definit,-0.3860636353492737,-0.21537527441978455,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els malalts exigeixen a una traumatòloga que sap operar per començar la intervenció,Els malalts exigeixen una traumatòloga que sap operar per començar la intervenció,SN específic indefinit,-0.40696656703948975,-0.2106814980506897,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els malalts exigeixen a una traumatòloga que sàpiga operar per començar la intervenció,Els malalts exigeixen una traumatòloga que sàpiga operar per començar la intervenció,SN inespecífic indefinit,-0.429948091506958,-0.2825620770454407,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els bandits desitgen a la Carmesina per robar tota la seva fortuna,Els bandits desitgen la Carmesina per robar tota la seva fortuna,SN específic nom propi,-0.9171410799026489,-0.8276281356811523,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Els bandits desitgen a l'aristòcrata que té diners per robar tota la seva fortuna,Els bandits desitgen l'aristòcrata que té diners per robar tota la seva fortuna,SN específic definit,-0.6801773309707642,-0.7101323008537292,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Els bandits desitgen a una aristòcrata que té diners per robar tota la seva fortuna,Els bandits desitgen una aristòcrata que té diners per robar tota la seva fortuna,SN específic indefinit,-0.749294638633728,-0.7092440724372864,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Els bandits desitgen a una aristòcrata que tingui diners per robar tota la seva fortuna,Els bandits desitgen una aristòcrata que tingui diners per robar tota la seva fortuna,SN inespecífic indefinit,-0.632616400718689,-0.6610897183418274,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Les reporteres desitgen a la Cristina per a l'entrevista,Les reporteres desitgen la Cristina per a l'entrevista,SN específic nom propi,-0.7792735695838928,-0.8492665886878967,projecte-aina/roberta-base-ca-v2,,,,,-0.8635370184654474,-1.0265834551149358
Les reporteres desitgen a la model que respon totes les preguntes per a l'entrevista,Les reporteres desitgen la model que respon totes les preguntes per a l'entrevista,SN específic definit,-0.5532386898994446,-0.6428591012954712,projecte-aina/roberta-base-ca-v2,,,,,-0.7032042504546957,-0.6937477937123427
Les reporteres desitgen a una model que respon totes les preguntes per a l'entrevista,Les reporteres desitgen una model que respon totes les preguntes per a l'entrevista,SN específic indefinit,-0.7772504091262817,-0.6596781611442566,projecte-aina/roberta-base-ca-v2,,,,,-0.7243142309275249,-0.7142692503435278
Les reporteres desitgen a una model que respongui totes les preguntes per a l'entrevista,Les reporteres desitgen una model que respongui totes les preguntes per a l'entrevista,SN inespecífic indefinit,-0.6741991639137268,-0.6780191659927368,projecte-aina/roberta-base-ca-v2,,,,,-0.6826345313715542,-0.6966966403253738
Els policies busquen a la Carme per detenir-la d'immediat,Els policies busquen la Carme per detenir-la d'immediat,SN específic nom propi,-0.0003303037956357002,-0.0006656318437308073,facebook/xmod-base,-0.007314642274524077,-0.0045864578855798754,0.03472775464250407,0.014802025142442636,-0.002944336369788895,-0.004807970866345891
Els policies busquen a la delinqüent que està en forma per detenir-la d'immediat,Els policies busquen la delinqüent que està en forma per detenir-la d'immediat,SN específic definit,-0.0001749851362546906,-0.00027501635486260056,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
Els policies busquen a una delinqüent que està en forma per detenir-la d'immediat,Els policies busquen una delinqüent que està en forma per detenir-la d'immediat,SN específic indefinit,-0.00016619522648397833,-0.00023811546270735562,facebook/xmod-base,,,,,-0.012996609440657872,-0.009801823449682464
Els policies busquen a una delinqüent que estigui en forma per detenir-la d'immediat,Els policies busquen una delinqüent que estigui en forma per detenir-la d'immediat,SN inespecífic indefinit,-0.00028295390075072646,-0.00044096342753618956,facebook/xmod-base,,,,,-0.0008550648505358064,-0.0011513486058700234
Les amigues busquen a la Bruna per jugar el partit,Les amigues busquen la Bruna per jugar el partit,SN específic nom propi,-7.45427023502998e-05,-8.916602382669225e-05,facebook/xmod-base,,,,,-0.002944336369788895,-0.004807970866345891
Les amigues busquen a la nena que juga a bàsquet per jugar el partit,Les amigues busquen la nena que juga a bàsquet per jugar el partit,SN específic definit,-0.2072104960680008,-0.011343400925397873,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
Les amigues busquen a una nena que juga a bàsquet per jugar el partit,Les amigues busquen una nena que juga a bàsquet per jugar el partit,SN específic indefinit,-0.21023257076740265,-0.0742267444729805,facebook/xmod-base,,,,,-0.012996609440657872,-0.009801823449682464
Les amigues busquen a una nena que jugui a bàsquet per jugar el partit,Les amigues busquen una nena que jugui a bàsquet per jugar el partit,SN inespecífic indefinit,-9.77944364422001e-05,-8.933525532484055e-05,facebook/xmod-base,,,,,-0.0008550648505358064,-0.0011513486058700234
Els propietaris busquen a la Carla per parlar del lloguer,Els propietaris busquen la Carla per parlar del lloguer,SN específic nom propi,-4.334011100581847e-05,-8.09809789643623e-05,facebook/xmod-base,,,,,-0.002944336369788895,-0.004807970866345891
Els propietaris busquen a la inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen la inquilina que viu en aquest pis per parlar del lloguer,SN específic definit,-0.0015541588654741645,-0.001201682141982019,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
Els propietaris busquen a una inquilina que viu en aquest pis per parlar del lloguer,Els propietaris busquen una inquilina que viu en aquest pis per parlar del lloguer,SN específic indefinit,-0.002333554904907942,-0.002917272737249732,facebook/xmod-base,,,,,-0.012996609440657872,-0.009801823449682464
Els propietaris busquen a una inquilina que visqui en aquest pis per parlar del lloguer,Els propietaris busquen una inquilina que visqui en aquest pis per parlar del lloguer,SN inespecífic indefinit,-0.0024771157186478376,-0.0016830669483169913,facebook/xmod-base,,,,,-0.0008550648505358064,-0.0011513486058700234
Les detectius busquen a la Victòria per investigar-la,Les detectius busquen la Victòria per investigar-la,SN específic nom propi,-0.0005339504568837583,-0.0007770974771119654,facebook/xmod-base,,,,,-0.002944336369788895,-0.004807970866345891
Les detectius busquen a la noia que és morena per investigar-la,Les detectius busquen la noia que és morena per investigar-la,SN específic definit,-0.004258849658071995,-0.005165559705346823,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
Les detectius busquen a una noia que és morena per investigar-la,Les detectius busquen una noia que és morena per investigar-la,SN específic indefinit,-0.006175464950501919,-0.056821711361408234,facebook/xmod-base,,,,,-0.012996609440657872,-0.009801823449682464
Les detectius busquen a una noia que sigui morena per investigar-la,Les detectius busquen una noia que sigui morena per investigar-la,SN inespecífic indefinit,-0.0023474341724067926,-0.003928373102098703,facebook/xmod-base,,,,,-0.0008550648505358064,-0.0011513486058700234
Les treballadores necessiten a la Patricia per parlar amb un client de Bilbao,Les treballadores necessiten la Patricia per parlar amb un client de Bilbao,SN específic nom propi,-0.0001480370556237176,-0.00011086295126006007,facebook/xmod-base,,,,,-0.002944336369788895,-0.004807970866345891
Les treballadores necessiten a la traductora que sap basc per parlar amb un client de Bilbao,Les treballadores necessiten la traductora que sap basc per parlar amb un client de Bilbao,SN específic definit,-0.00015638397599104792,-0.00019601867825258523,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
Les treballadores necessiten a una traductora que sap basc per parlar amb un client de Bilbao,Les treballadores necessiten una traductora que sap basc per parlar amb un client de Bilbao,SN específic indefinit,-0.00018252695736009628,-0.00020953798957634717,facebook/xmod-base,,,,,-0.012996609440657872,-0.009801823449682464
Les treballadores necessiten a una traductora que sàpiga basc per parlar amb un client de Bilbao,Les treballadores necessiten una traductora que sàpiga basc per parlar amb un client de Bilbao,SN inespecífic indefinit,-0.00017315610602963716,-0.00017343414947390556,facebook/xmod-base,,,,,-0.0008550648505358064,-0.0011513486058700234
Els demandats necessiten a la Susanna per defensar-se,Els demandats necessiten la Susanna per defensar-se,SN específic nom propi,-7.827851368347183e-05,-7.081864168867469e-05,facebook/xmod-base,,,,,-0.002944336369788895,-0.004807970866345891
Els demandats necessiten a l'advocada que té un bufet per defensar-se,Els demandats necessiten l'advocada que té un bufet per defensar-se,SN específic definit,-6.761433178326115e-05,-9.74820795818232e-05,facebook/xmod-base,,,,,-0.012462558437113734,-0.0025846886204211237
