Tipus d'error,Interferència del castellà,Masked,Resposta normativa,Resposta no normativa freqüent,Prediccions,Model,Normatives top 1,Normatives top 5,No normatives top 1,No normatives top 5,Altres
caiguda_prep,Sí,Em refereixo <mask> que va cantar.,al,a,"['al', 'a', 'als', 'el', 'allò']",projecte-aina/roberta-base-ca-v2,27,47,18,47,0
caiguda_prep,Sí,Parlo <mask> que va sortir l’altre dia al diari,del,de,"['del', 'pel', 'de', 'des', 'el']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Depèn <mask> que decideixin els experts.,del,de,"['del', 'el', 'dels', 'de', 'del']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,No es recorda <mask> que li vaig explicar.,del,de,"['del', 'el', 'de', 'allò', 'res']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,No m’havia adonat <mask> que estava equivocat.,del,de,"['de', 'mai', 'encara', 'pas', ',']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va fer una nova pel·lícula.,al,a,"['a', 'al', 'als', ',', 'ara']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Parlo <mask> que moure la caixa de lloc. ,del,de,"['més', 'de', 'abans', 'primer', 'igual']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Depèn <mask> que vulgin fer.,del,de,"['del', 'de', 'el', 'dels', 'del']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,No es recorda <mask> que va veure aquell dia.,del,de,"['del', 'el', 'de', 'pel', 'res']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,No m'havia adonat <mask> que estava mal col·locat.,del,de,"['de', 'mai', 'pas', 'ni', 'encara']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,"No tinc informació actualitzada en relació <mask> la teva sol·licitud, però ho consultaré.",amb,a,"['a', 'amb', 'de', 'al', 'en']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,No hi ha hagut avenços en relació <mask> aquest assumpte.,amb,a,"['amb', 'a', 'en', 'al', 'sobre']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,No sé res nou en relació <mask> l’examen.,amb,a,"['a', 'amb', 'al', 'de', 'en']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,No he rebut cap avís en relació <mask> la reunió de demà.,amb,a,"['a', 'amb', 'de', 'al', 'en']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,Encara no hi ha cap decisió presa en relació <mask> el pressupost.,amb,a,"['amb', 'a', 'en', 'sobre', 'al']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,Vull fer-te una pregunta <mask> relació a la proposta que has enviat.,amb,en,"['en', 'amb', 'em', 'En', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,Vull parlar <mask> relació a aquest tema.,amb,en,"['en', 'amb', 'em', 'en', 'de']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,"No hi ha notícies <mask> relació al vostre problema, em sap greu. ",amb,en,"['en', 'amb', 'de', 'em', 'cap']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,No tenim cap novetat <mask> relació a aquest projecte.,amb,en,"['en', 'amb', 'em', 'de', 'cap']",projecte-aina/roberta-base-ca-v2,,,,,
en_relacio_a,No,No s’ha pres cap mesura <mask> relació a el problema de seguretat.,amb,en,"['en', 'amb', 'em', 'per', 'especial']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,Això afecta <mask> trànsit aeri.,el,al,"['el', 'al', 'a', 'també', 'principalment']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,He vist <mask> cotxe nou.,el,al,"['un', 'el', 'aquest', 'algun', 'molt']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,L’entrenador felicitarà <mask> jugadors després del partit.,els,als,"['els', 'als', 'el', 'alguns', 'al']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,L’empresa vol formar <mask> seus treballadors.,els,als,"['els', 'als', 'el', 'dels', 'al']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,Estic esperant <mask> professor per resoldre un dubte.,el,al,"['al', 'el', 'un', 'aquest', 'algun']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,Han acomiadat <mask> empleats més antics de l’empresa.,el,al,"['els', 'als', 'el', 'dels', 'dos']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,Sempre ajuda <mask> seus companys quan ho necessiten.,els,als,"['els', 'als', 'el', 'al', 'pels']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,El professor ha avisat <mask> alumnes sobre el canvi d’horari.,els,als,"['els', 'als', 'altres', 'alguns', 'diversos']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,El jutge ha interrogat <mask> testimonis del cas.,els,als,"['diversos', 'els', 'dos', 'tres', 'alguns']",projecte-aina/roberta-base-ca-v2,,,,,
a_od,Sí,Han seleccionat <mask> millors candidats per al lloc de feina.,els,als,"['els', 'als', 'el', '10', 'dels']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Al restaurant fa molta olor <mask> fregit.,de,a,"['de', 'a', 'peix', 'tomàquet', 'al']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Tinc por <mask> les aranyes.,de,a,"['de', 'a', 'per', 'amb', 'com']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,El meu horari és diferent <mask> teu.,del,al,"['del', 'al', 'el', 'dels', 'pel']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,La solució <mask> problema és molt senzilla.,del,al,"['al', 'del', 'pel', 'a', 'de']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'a', 'en', 'aprofitant', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['de', 'a', 'om', 'totes', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['de', 'a', 'al', 'del', 'peix']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['de', 'a', 'en', 'sobre', 'que']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'per', 'contra', 'de', 'envers']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'sobre', 'per', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['en', 'a', 'per', 'de', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'amb', 'que', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['a', 'en', 'amb', 'de', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['amb', 'de', 'en', 'a', 'i']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['a', 'en', 'de', 'per', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['per', 'en', 'a', 'i', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['a', 'en', 'per', 'com', 'a']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Ens complaem <mask> acceptar la vostra col·laboració.,a,en,"['en', 'a', 'per', 'amb', 'molt']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,"Engrescat <mask> fundar la coral, tot el temps que hi dedica li sembla poc.",a,en,"['a', 'en', 'per', 'de', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,"Estava tan capficat <mask> completar la jugada, que no es va adonar que el temps s'havia acabat. ",a,en,"['a', 'en', 'per', 'de', 'intentant']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va cantar.,al,a,"['al', 'als', 'el', 'a', 'pel']",facebook/xmod-base,22,49,21,46,1
caiguda_prep,Sí,Parlo <mask> que va sortir l’altre dia al diari,del,de,"['del', 'el', 'allò', 'de', 'dels']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Depèn <mask> que decideixin els experts.,del,de,"['del', 'el', 'de', 'dels', 'allò']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que li vaig explicar.,del,de,"['del', 'el', 'allò', 'res', 'lo']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No m’havia adonat <mask> que estava equivocat.,del,de,"['de', 'encara', 'del', 'abans', 'mai']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va fer una nova pel·lícula.,al,a,"['al', 'a', 'als', 'dient', 'el']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Parlo <mask> que moure la caixa de lloc. ,del,de,"['de', 'més', 'del', 'també', 'per']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Depèn <mask> que vulgin fer.,del,de,"['del', 'el', 'de', 'allò', 'dels']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que va veure aquell dia.,del,de,"['el', 'del', 'res', 'allò', 'al']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No m'havia adonat <mask> que estava mal col·locat.,del,de,"['de', 'encara', 'del', 'abans', 'fins']",facebook/xmod-base,,,,,
en_relacio_a,No,"No tinc informació actualitzada en relació <mask> la teva sol·licitud, però ho consultaré.",amb,a,"['a', 'amb', 'de', 'à', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,No hi ha hagut avenços en relació <mask> aquest assumpte.,amb,a,"['amb', 'a', 'en', 'al', 'sobre']",facebook/xmod-base,,,,,
en_relacio_a,No,No sé res nou en relació <mask> l’examen.,amb,a,"['amb', 'a', 'de', 'al', 'à']",facebook/xmod-base,,,,,
en_relacio_a,No,No he rebut cap avís en relació <mask> la reunió de demà.,amb,a,"['a', 'amb', 'de', 'à', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,Encara no hi ha cap decisió presa en relació <mask> el pressupost.,amb,a,"['amb', 'sobre', 'a', 'en', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,Vull fer-te una pregunta <mask> relació a la proposta que has enviat.,amb,en,"['en', 'amb', 'de', 'En', 'sense']",facebook/xmod-base,,,,,
en_relacio_a,No,Vull parlar <mask> relació a aquest tema.,amb,en,"['en', 'amb', 'sense', 'alguna', 'de']",facebook/xmod-base,,,,,
en_relacio_a,No,"No hi ha notícies <mask> relació al vostre problema, em sap greu. ",amb,en,"['en', 'amb', 'de', 'con', 'sense']",facebook/xmod-base,,,,,
en_relacio_a,No,No tenim cap novetat <mask> relació a aquest projecte.,amb,en,"['en', 'amb', 'de', 'En', 'cap']",facebook/xmod-base,,,,,
en_relacio_a,No,No s’ha pres cap mesura <mask> relació a el problema de seguretat.,amb,en,"['en', 'amb', 'de', 'sense', 'especial']",facebook/xmod-base,,,,,
a_od,Sí,Això afecta <mask> trànsit aeri.,el,al,"['el', 'al', 'a', 'tot', 'un']",facebook/xmod-base,,,,,
a_od,Sí,He vist <mask> cotxe nou.,el,al,"['un', 'el', 'aquest', 'algun', 'aquell']",facebook/xmod-base,,,,,
a_od,Sí,L’entrenador felicitarà <mask> jugadors després del partit.,els,als,"['els', 'als', 'a', 'pels', 'el']",facebook/xmod-base,,,,,
a_od,Sí,L’empresa vol formar <mask> seus treballadors.,els,als,"['els', 'als', 'dels', 'el', 'al']",facebook/xmod-base,,,,,
a_od,Sí,Estic esperant <mask> professor per resoldre un dubte.,el,al,"['un', 'al', 'el', 'algun', 'aquest']",facebook/xmod-base,,,,,
a_od,Sí,Han acomiadat <mask> empleats més antics de l’empresa.,el,al,"['els', 'als', 'dos', 'quatre', 'cinc']",facebook/xmod-base,,,,,
a_od,Sí,Sempre ajuda <mask> seus companys quan ho necessiten.,els,als,"['als', 'els', 'al', 'dels', 'pels']",facebook/xmod-base,,,,,
a_od,Sí,El professor ha avisat <mask> alumnes sobre el canvi d’horari.,els,als,"['als', 'els', 'les', 'dels', 'al']",facebook/xmod-base,,,,,
a_od,Sí,El jutge ha interrogat <mask> testimonis del cas.,els,als,"['els', 'dos', 'als', 'diversos', 'cinc']",facebook/xmod-base,,,,,
a_od,Sí,Han seleccionat <mask> millors candidats per al lloc de feina.,els,als,"['els', 'als', 'les', 'cinc', '10']",facebook/xmod-base,,,,,
com_reg,Sí,Al restaurant fa molta olor <mask> fregit.,de,a,"['de', 'al', 'a', 'del', 'el']",facebook/xmod-base,,,,,
com_reg,Sí,Tinc por <mask> les aranyes.,de,a,"['a', 'per', 'de', 'amb', 'davant']",facebook/xmod-base,,,,,
com_reg,Sí,El meu horari és diferent <mask> teu.,del,al,"['al', 'del', 'dels', 'als', 'el']",facebook/xmod-base,,,,,
com_reg,Sí,La solució <mask> problema és molt senzilla.,del,al,"['del', 'al', 'de', 'aquest', 'pel']",facebook/xmod-base,,,,,
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'a', 'davant', 'en', 'sobre']",facebook/xmod-base,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['de', 'a', 'totes', 'amb', 'en']",facebook/xmod-base,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['del', 'de', 'al', 'a', 'un']",facebook/xmod-base,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['a', 'de', 'en', 'sobre', 'à']",facebook/xmod-base,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'contra', 'de', 'davant', 'sobre']",facebook/xmod-base,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'sobre', 'per', 'en']",facebook/xmod-base,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['en', 'per', 'a', 'de', 'i']",facebook/xmod-base,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'que', 'al', 'per']",facebook/xmod-base,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['en', 'a', 'per', 'amb', 'i']",facebook/xmod-base,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['de', 'amb', 'per', 'en', 'fent']",facebook/xmod-base,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['a', 'en', 'de', 'per', 'no']",facebook/xmod-base,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['per', 'en', 'a', 'i', 'perquè']",facebook/xmod-base,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['en', 'a', 'per', 'sobre', 'al']",facebook/xmod-base,,,,,
